product;vendor
"{""name"":""Triamcinolone Acetonide"",""description"":""Supervision of high risk pregnancy"",""detail"":{""price"":798.15,""image"":""http://dummyimage.com/225x100.png/cc0000/ffffff"",""size"":""XL"",""color"":""Violet""},""vendor"":{""name"":""Npath"",""contactNum"":53535820781,""address"":""84 Pine View Street""},""variants"":[{""detail"":{""price"":8040.09,""image"":""http://dummyimage.com/232x100.png/dddddd/000000"",""size"":""3XL"",""color"":""Orange""}},{""detail"":{""price"":4707.41,""image"":""http://dummyimage.com/171x100.png/5fa2dd/ffffff"",""size"":""XS"",""color"":""Mauv""}},{""detail"":{""price"":9350.99,""image"":""http://dummyimage.com/199x100.png/ff4444/ffffff"",""size"":""XS"",""color"":""Indigo""}}],""categories"":[{""name"":""CN""},{""name"":""RU""}]}";"{""name"":""Bluejam"",""contactNum"":78923441244,""address"":""44088 Veith Way""}"
"{""name"":""Prostoforce"",""description"":""Other degenerative disorders of eyelid and periocular area"",""detail"":{""price"":4539.73,""image"":""http://dummyimage.com/184x100.png/cc0000/ffffff"",""size"":""XL"",""color"":""Puce""},""vendor"":{""name"":""Chatterbridge"",""contactNum"":81328141521,""address"":""36264 Lakeland Park""},""variants"":[{""detail"":{""price"":5805.12,""image"":""http://dummyimage.com/104x100.png/cc0000/ffffff"",""size"":""3XL"",""color"":""Maroon""}},{""detail"":{""price"":3540.78,""image"":""http://dummyimage.com/250x100.png/dddddd/000000"",""size"":""M"",""color"":""Red""}},{""detail"":{""price"":5090.88,""image"":""http://dummyimage.com/240x100.png/dddddd/000000"",""size"":""M"",""color"":""Yellow""}}],""categories"":[{""name"":""RS""},{""name"":""ID""},{""name"":""MX""}]}";"{""name"":""Skalith"",""contactNum"":72227082358,""address"":""421 Park Meadow Park""}"
"{""name"":""Burrobrush"",""description"":""Toxic effect of venom of tarantula, assault"",""detail"":{""price"":2331.81,""image"":""http://dummyimage.com/228x100.png/cc0000/ffffff"",""size"":""XL"",""color"":""Blue""},""vendor"":{""name"":""Mycat"",""contactNum"":91224575043,""address"":""83 Darwin Terrace""},""variants"":[{""detail"":{""price"":4750.39,""image"":""http://dummyimage.com/158x100.png/5fa2dd/ffffff"",""size"":""XS"",""color"":""Goldenrod""}},{""detail"":{""price"":4914.21,""image"":""http://dummyimage.com/239x100.png/dddddd/000000"",""size"":""2XL"",""color"":""Purple""}},{""detail"":{""price"":4032.26,""image"":""http://dummyimage.com/157x100.png/cc0000/ffffff"",""size"":""XS"",""color"":""Red""}}],""categories"":[{""name"":""BN""},{""name"":""PH""}]}";"{""name"":""Geba"",""contactNum"":71212414258,""address"":""26174 Doe Crossing Center""}"
"{""name"":""Cough and Cold"",""description"":""Path fracture in neoplastic disease, unsp femur, init"",""detail"":{""price"":6844.06,""image"":""http://dummyimage.com/248x100.png/dddddd/000000"",""size"":""L"",""color"":""Mauv""},""vendor"":{""name"":""Rooxo"",""contactNum"":85272994810,""address"":""3901 Magdeline Park""},""variants"":[{""detail"":{""price"":3160.41,""image"":""http://dummyimage.com/236x100.png/ff4444/ffffff"",""size"":""XS"",""color"":""Purple""}},{""detail"":{""price"":3673.2,""image"":""http://dummyimage.com/141x100.png/ff4444/ffffff"",""size"":""2XL"",""color"":""Yellow""}},{""detail"":{""price"":5548.14,""image"":""http://dummyimage.com/130x100.png/5fa2dd/ffffff"",""size"":""S"",""color"":""Fuscia""}},{""detail"":{""price"":8955.07,""image"":""http://dummyimage.com/130x100.png/dddddd/000000"",""size"":""XL"",""color"":""Teal""}}],""categories"":[{""name"":""FR""}]}";"{""name"":""Skipstorm"",""contactNum"":54983816106,""address"":""6 Colorado Street""}"
"{""name"":""Oily SK Specific Solutions"",""description"":""Congenital complete absence of lower limb, bilateral"",""detail"":{""price"":7478.09,""image"":""http://dummyimage.com/173x100.png/cc0000/ffffff"",""size"":""3XL"",""color"":""Crimson""},""vendor"":{""name"":""Ntag"",""contactNum"":41653026062,""address"":""855 Carioca Court""},""variants"":[{""detail"":{""price"":9345.33,""image"":""http://dummyimage.com/221x100.png/5fa2dd/ffffff"",""size"":""S"",""color"":""Turquoise""}},{""detail"":{""price"":5695.06,""image"":""http://dummyimage.com/145x100.png/dddddd/000000"",""size"":""S"",""color"":""Fuscia""}}],""categories"":[{""name"":""CO""},{""name"":""DE""},{""name"":""PT""}]}";"{""name"":""Oyoloo"",""contactNum"":64219201657,""address"":""6668 Ronald Regan Alley""}"
"{""name"":""Diclofenac Sodium"",""description"":""Incarcerated fx of medial epicondyl of l humerus, sequela"",""detail"":{""price"":4151.32,""image"":""http://dummyimage.com/140x100.png/ff4444/ffffff"",""size"":""XS"",""color"":""Orange""},""vendor"":{""name"":""Pixoboo"",""contactNum"":30052276191,""address"":""810 Village Green Center""},""variants"":[{""detail"":{""price"":661.34,""image"":""http://dummyimage.com/104x100.png/cc0000/ffffff"",""size"":""XS"",""color"":""Yellow""}},{""detail"":{""price"":6805.5,""image"":""http://dummyimage.com/204x100.png/5fa2dd/ffffff"",""size"":""XL"",""color"":""Crimson""}},{""detail"":{""price"":1682.07,""image"":""http://dummyimage.com/104x100.png/5fa2dd/ffffff"",""size"":""2XL"",""color"":""Green""}},{""detail"":{""price"":4149.55,""image"":""http://dummyimage.com/148x100.png/5fa2dd/ffffff"",""size"":""L"",""color"":""Turquoise""}}],""categories"":[{""name"":""IT""}]}";"{""name"":""Realcube"",""contactNum"":10175122779,""address"":""3 Truax Terrace""}"
"{""name"":""Rite Aid"",""description"":""Inj musc/fasc/tend at wrs/hnd lv, unsp hand, sequela"",""detail"":{""price"":8190.15,""image"":""http://dummyimage.com/167x100.png/5fa2dd/ffffff"",""size"":""XL"",""color"":""Puce""},""vendor"":{""name"":""Linkbuzz"",""contactNum"":50745815657,""address"":""6043 Forest Hill""},""variants"":[{""detail"":{""price"":5169.9,""image"":""http://dummyimage.com/124x100.png/cc0000/ffffff"",""size"":""XS"",""color"":""Khaki""}},{""detail"":{""price"":5465.76,""image"":""http://dummyimage.com/116x100.png/dddddd/000000"",""size"":""2XL"",""color"":""Maroon""}}],""categories"":[{""name"":""DE""},{""name"":""SO""},{""name"":""ID""}]}";"{""name"":""Twitterworks"",""contactNum"":28432730369,""address"":""435 Shopko Center""}"
"{""name"":""Exelderm"",""description"":""Erosive (osteo)arthritis"",""detail"":{""price"":7374.63,""image"":""http://dummyimage.com/149x100.png/5fa2dd/ffffff"",""size"":""S"",""color"":""Mauv""},""vendor"":{""name"":""Zoombox"",""contactNum"":44951450116,""address"":""1525 Schmedeman Junction""},""variants"":[{""detail"":{""price"":2368.77,""image"":""http://dummyimage.com/161x100.png/cc0000/ffffff"",""size"":""S"",""color"":""Puce""}}],""categories"":[{""name"":""CL""}]}";"{""name"":""Eazzy"",""contactNum"":45003881964,""address"":""5 Saint Paul Place""}"
"{""name"":""Felbamate"",""description"":""Oth injury due to oth accident to inflatbl crft, subs"",""detail"":{""price"":2219.36,""image"":""http://dummyimage.com/209x100.png/ff4444/ffffff"",""size"":""2XL"",""color"":""Green""},""vendor"":{""name"":""Livetube"",""contactNum"":29308395085,""address"":""1 Algoma Court""},""variants"":[{""detail"":{""price"":9823.82,""image"":""http://dummyimage.com/129x100.png/5fa2dd/ffffff"",""size"":""3XL"",""color"":""Fuscia""}},{""detail"":{""price"":9048.63,""image"":""http://dummyimage.com/221x100.png/ff4444/ffffff"",""size"":""M"",""color"":""Red""}},{""detail"":{""price"":4413.22,""image"":""http://dummyimage.com/221x100.png/cc0000/ffffff"",""size"":""2XL"",""color"":""Purple""}}],""categories"":[{""name"":""CN""},{""name"":""CN""},{""name"":""CN""}]}";"{""name"":""Thoughtbridge"",""contactNum"":98113930794,""address"":""414 Vidon Trail""}"
"{""name"":""Gablofen"",""description"":""Pre-pubertal vaginal bleeding"",""detail"":{""price"":2283.71,""image"":""http://dummyimage.com/235x100.png/cc0000/ffffff"",""size"":""XL"",""color"":""Crimson""},""vendor"":{""name"":""Trilia"",""contactNum"":63339918578,""address"":""7 Sommers Place""},""variants"":[{""detail"":{""price"":2247.14,""image"":""http://dummyimage.com/123x100.png/ff4444/ffffff"",""size"":""XS"",""color"":""Turquoise""}},{""detail"":{""price"":6675.57,""image"":""http://dummyimage.com/124x100.png/cc0000/ffffff"",""size"":""XL"",""color"":""Orange""}},{""detail"":{""price"":9387.0,""image"":""http://dummyimage.com/167x100.png/dddddd/000000"",""size"":""L"",""color"":""Khaki""}}],""categories"":[{""name"":""RU""}]}";"{""name"":""Kimia"",""contactNum"":90336114436,""address"":""8678 Sommers Way""}"
"{""name"":""Bodycology"",""description"":""Acquired absence of right thumb"",""detail"":{""price"":8800.67,""image"":""http://dummyimage.com/185x100.png/ff4444/ffffff"",""size"":""S"",""color"":""Orange""},""vendor"":{""name"":""Avamm"",""contactNum"":58818180935,""address"":""039 Sherman Point""},""variants"":[{""detail"":{""price"":4489.22,""image"":""http://dummyimage.com/182x100.png/cc0000/ffffff"",""size"":""S"",""color"":""Puce""}},{""detail"":{""price"":9105.16,""image"":""http://dummyimage.com/213x100.png/dddddd/000000"",""size"":""M"",""color"":""Pink""}},{""detail"":{""price"":8144.81,""image"":""http://dummyimage.com/212x100.png/ff4444/ffffff"",""size"":""2XL"",""color"":""Blue""}},{""detail"":{""price"":4740.64,""image"":""http://dummyimage.com/116x100.png/cc0000/ffffff"",""size"":""3XL"",""color"":""Indigo""}}],""categories"":[{""name"":""BG""},{""name"":""PL""}]}";"{""name"":""Zoozzy"",""contactNum"":34185161021,""address"":""34 Mesta Plaza""}"
"{""name"":""pain relief"",""description"":""Poisoning by benzodiazepines, undetermined, init encntr"",""detail"":{""price"":5215.83,""image"":""http://dummyimage.com/238x100.png/dddddd/000000"",""size"":""2XL"",""color"":""Red""},""vendor"":{""name"":""Jaxnation"",""contactNum"":65198309968,""address"":""8896 Bayside Lane""},""variants"":[{""detail"":{""price"":9317.61,""image"":""http://dummyimage.com/109x100.png/ff4444/ffffff"",""size"":""2XL"",""color"":""Pink""}}],""categories"":[{""name"":""GH""},{""name"":""JP""},{""name"":""BR""}]}";"{""name"":""Lazz"",""contactNum"":65934170927,""address"":""48 Holmberg Court""}"
"{""name"":""RADICAL SKINCARE SKIN PERFECTING SCREEN SPF 30"",""description"":""Disp fx of trapezium, unsp wrist, subs for fx w nonunion"",""detail"":{""price"":3365.29,""image"":""http://dummyimage.com/107x100.png/5fa2dd/ffffff"",""size"":""M"",""color"":""Fuscia""},""vendor"":{""name"":""Oyoba"",""contactNum"":90919856287,""address"":""0 Bobwhite Road""},""variants"":[{""detail"":{""price"":6763.64,""image"":""http://dummyimage.com/143x100.png/cc0000/ffffff"",""size"":""XS"",""color"":""Turquoise""}},{""detail"":{""price"":9292.57,""image"":""http://dummyimage.com/146x100.png/cc0000/ffffff"",""size"":""S"",""color"":""Red""}}],""categories"":[{""name"":""UA""},{""name"":""GR""}]}";"{""name"":""Twiyo"",""contactNum"":56902694927,""address"":""8560 Morrow Place""}"
"{""name"":""BD E-Z Scrub 107"",""description"":""Major laceration of unsp part of pancreas, subs encntr"",""detail"":{""price"":3784.04,""image"":""http://dummyimage.com/113x100.png/dddddd/000000"",""size"":""XS"",""color"":""Crimson""},""vendor"":{""name"":""Eidel"",""contactNum"":96386309977,""address"":""97544 Thierer Crossing""},""variants"":[{""detail"":{""price"":4135.64,""image"":""http://dummyimage.com/122x100.png/5fa2dd/ffffff"",""size"":""M"",""color"":""Turquoise""}},{""detail"":{""price"":1132.42,""image"":""http://dummyimage.com/192x100.png/dddddd/000000"",""size"":""XL"",""color"":""Teal""}},{""detail"":{""price"":1597.19,""image"":""http://dummyimage.com/189x100.png/dddddd/000000"",""size"":""3XL"",""color"":""Goldenrod""}}],""categories"":[{""name"":""BF""},{""name"":""US""}]}";"{""name"":""Shuffletag"",""contactNum"":66895415747,""address"":""092 Mayfield Plaza""}"
"{""name"":""equate nitetime"",""description"":""Striking against or struck by oth sports equipment, sequela"",""detail"":{""price"":3894.38,""image"":""http://dummyimage.com/224x100.png/ff4444/ffffff"",""size"":""L"",""color"":""Yellow""},""vendor"":{""name"":""Mudo"",""contactNum"":71020613138,""address"":""9 Kedzie Crossing""},""variants"":[{""detail"":{""price"":4907.23,""image"":""http://dummyimage.com/190x100.png/ff4444/ffffff"",""size"":""3XL"",""color"":""Pink""}}],""categories"":[{""name"":""CZ""},{""name"":""EG""}]}";"{""name"":""Feedfire"",""contactNum"":12888179826,""address"":""0 Texas Street""}"
"{""name"":""Equaline antacid"",""description"":""Unspecified early complication of trauma, sequela"",""detail"":{""price"":8460.88,""image"":""http://dummyimage.com/132x100.png/5fa2dd/ffffff"",""size"":""XL"",""color"":""Goldenrod""},""vendor"":{""name"":""Zoomdog"",""contactNum"":67655998037,""address"":""2945 Bellgrove Alley""},""variants"":[{""detail"":{""price"":6063.64,""image"":""http://dummyimage.com/155x100.png/cc0000/ffffff"",""size"":""M"",""color"":""Crimson""}},{""detail"":{""price"":7832.46,""image"":""http://dummyimage.com/221x100.png/cc0000/ffffff"",""size"":""2XL"",""color"":""Red""}},{""detail"":{""price"":6797.73,""image"":""http://dummyimage.com/173x100.png/5fa2dd/ffffff"",""size"":""M"",""color"":""Crimson""}}],""categories"":[{""name"":""PL""},{""name"":""CN""},{""name"":""LY""}]}";"{""name"":""Voolia"",""contactNum"":93581482999,""address"":""3 Fordem Crossing""}"
"{""name"":""Leaf Tobacco"",""description"":""Drug/chem diabetes with stable prolif diabetic retinopathy"",""detail"":{""price"":1870.51,""image"":""http://dummyimage.com/107x100.png/cc0000/ffffff"",""size"":""S"",""color"":""Turquoise""},""vendor"":{""name"":""Browsecat"",""contactNum"":76804688583,""address"":""815 Pleasure Hill""},""variants"":[{""detail"":{""price"":9222.78,""image"":""http://dummyimage.com/167x100.png/dddddd/000000"",""size"":""M"",""color"":""Aquamarine""}},{""detail"":{""price"":4842.99,""image"":""http://dummyimage.com/108x100.png/ff4444/ffffff"",""size"":""L"",""color"":""Puce""}},{""detail"":{""price"":9608.28,""image"":""http://dummyimage.com/201x100.png/cc0000/ffffff"",""size"":""S"",""color"":""Green""}},{""detail"":{""price"":219.51,""image"":""http://dummyimage.com/104x100.png/cc0000/ffffff"",""size"":""M"",""color"":""Orange""}}],""categories"":[{""name"":""CA""},{""name"":""PH""}]}";"{""name"":""Zoonoodle"",""contactNum"":18777323613,""address"":""346 Northview Parkway""}"
"{""name"":""Dibasic Sodium Phosphate, Monobasic Potassium Phosphate and Monobasic Sodium Phosphate"",""description"":""Corrosion of unspecified degree of chin, subs encntr"",""detail"":{""price"":8998.05,""image"":""http://dummyimage.com/128x100.png/cc0000/ffffff"",""size"":""M"",""color"":""Purple""},""vendor"":{""name"":""Yabox"",""contactNum"":34640007286,""address"":""97 Doe Crossing Alley""},""variants"":[{""detail"":{""price"":5681.21,""image"":""http://dummyimage.com/129x100.png/5fa2dd/ffffff"",""size"":""M"",""color"":""Purple""}},{""detail"":{""price"":4839.21,""image"":""http://dummyimage.com/102x100.png/dddddd/000000"",""size"":""XS"",""color"":""Teal""}}],""categories"":[{""name"":""JO""}]}";"{""name"":""Wikido"",""contactNum"":19639523397,""address"":""1 Towne Place""}"
"{""name"":""Natural Cherry Honey Herb Throat Drops"",""description"":""Nondisp fx of shaft of 1st MC bone, l hand, 7thD"",""detail"":{""price"":9404.8,""image"":""http://dummyimage.com/194x100.png/dddddd/000000"",""size"":""S"",""color"":""Purple""},""vendor"":{""name"":""Gigaclub"",""contactNum"":46917153417,""address"":""573 Canary Court""},""variants"":[{""detail"":{""price"":6348.85,""image"":""http://dummyimage.com/245x100.png/5fa2dd/ffffff"",""size"":""XL"",""color"":""Turquoise""}}],""categories"":[{""name"":""BW""},{""name"":""GM""}]}";"{""name"":""Yodo"",""contactNum"":61054474257,""address"":""63800 Lotheville Avenue""}"
"{""name"":""SunBurnt"",""description"":""Other superficial bite of left ring finger, subs encntr"",""detail"":{""price"":1950.66,""image"":""http://dummyimage.com/136x100.png/dddddd/000000"",""size"":""3XL"",""color"":""Violet""},""vendor"":{""name"":""Gabspot"",""contactNum"":96266210957,""address"":""072 Shelley Court""},""variants"":[{""detail"":{""price"":2841.3,""image"":""http://dummyimage.com/224x100.png/dddddd/000000"",""size"":""3XL"",""color"":""Crimson""}},{""detail"":{""price"":6136.65,""image"":""http://dummyimage.com/209x100.png/dddddd/000000"",""size"":""S"",""color"":""Mauv""}},{""detail"":{""price"":4365.6,""image"":""http://dummyimage.com/195x100.png/dddddd/000000"",""size"":""3XL"",""color"":""Indigo""}},{""detail"":{""price"":5474.23,""image"":""http://dummyimage.com/180x100.png/5fa2dd/ffffff"",""size"":""S"",""color"":""Crimson""}}],""categories"":[{""name"":""AR""}]}";"{""name"":""Quatz"",""contactNum"":79330771178,""address"":""652 Gulseth Way""}"
"{""name"":""HYDRALAZINE HYDROCHLORIDE"",""description"":""Atopic dermatitis"",""detail"":{""price"":7946.08,""image"":""http://dummyimage.com/160x100.png/5fa2dd/ffffff"",""size"":""3XL"",""color"":""Violet""},""vendor"":{""name"":""Demizz"",""contactNum"":90653938508,""address"":""7844 Oak Valley Alley""},""variants"":[{""detail"":{""price"":4550.53,""image"":""http://dummyimage.com/220x100.png/5fa2dd/ffffff"",""size"":""XS"",""color"":""Blue""}},{""detail"":{""price"":1051.25,""image"":""http://dummyimage.com/198x100.png/5fa2dd/ffffff"",""size"":""M"",""color"":""Fuscia""}}],""categories"":[{""name"":""CN""}]}";"{""name"":""Skyba"",""contactNum"":28397571481,""address"":""48403 Harbort Plaza""}"
"{""name"":""Ranitidine Hydrochloride"",""description"":""Dislocation of MCP joint of right index finger, subs"",""detail"":{""price"":2903.9,""image"":""http://dummyimage.com/250x100.png/5fa2dd/ffffff"",""size"":""XL"",""color"":""Green""},""vendor"":{""name"":""Tekfly"",""contactNum"":92879982945,""address"":""9408 Northridge Road""},""variants"":[{""detail"":{""price"":5269.73,""image"":""http://dummyimage.com/192x100.png/cc0000/ffffff"",""size"":""S"",""color"":""Red""}},{""detail"":{""price"":479.84,""image"":""http://dummyimage.com/146x100.png/dddddd/000000"",""size"":""L"",""color"":""Red""}}],""categories"":[{""name"":""CY""},{""name"":""CN""},{""name"":""PT""}]}";"{""name"":""Twimbo"",""contactNum"":41739101050,""address"":""33 Village Green Park""}"
"{""name"":""Stay Awake"",""description"":""Postproc hemorrhage of an endo sys org following a procedure"",""detail"":{""price"":3568.7,""image"":""http://dummyimage.com/144x100.png/5fa2dd/ffffff"",""size"":""2XL"",""color"":""Teal""},""vendor"":{""name"":""Kayveo"",""contactNum"":10049440230,""address"":""1 Bayside Lane""},""variants"":[{""detail"":{""price"":5597.49,""image"":""http://dummyimage.com/202x100.png/5fa2dd/ffffff"",""size"":""2XL"",""color"":""Purple""}}],""categories"":[{""name"":""FR""},{""name"":""US""},{""name"":""VN""}]}";"{""name"":""Edgeclub"",""contactNum"":64162620972,""address"":""440 Norway Maple Center""}"
